jugador,id,equipo
Miranda,21475,Betis
Riad,15107,Betis
David Soria,402491,Getafe
Damián Suárez,13741,Getafe
Juan Iglesias,21199,Getafe
Mitrović,15246,Getafe
Domingos Duarte,29122,Getafe
Gastón Álvarez,41998,Getafe
Djené,19021,Getafe
Maksimović,20254,Getafe
Aleñá,23198,Getafe
Mata,101289,Getafe
Latasa,304045,Getafe
Portu,300527,Girona
Lozano,8750,Almería
Mayoral,22115,Getafe
Fuzato,20696,Getafe
Jorge Benito,13640,Getafe
Angileri,45278,Getafe
Gorka,45279,Getafe
Santi García,43254,Getafe
Ter Stegen,93292,Barcelona
Koundé,84324,Barcelona
Christensen,84094,Barcelona
Araújo,21908,Barcelona
Balde,20068,Barcelona
Gündoğan,93028,Barcelona
De Jong,78218,Barcelona
Romeu,300056,Barcelona
Pedri,25651,Barcelona
Raphinha,70294,Barcelona
Lewandowski,93207,Barcelona
Abde,26976,Betis
Gavi,11269,Barcelona
Lamine Yamal,304240,Barcelona
Ansu Fati,23758,Barcelona
Astralaga,41836,Barcelona
Sergi Roberto,300367,Barcelona
Eric Garcia,304055,Girona
Casadó,201571,Barcelona
Ferran Torres,23403,Barcelona
Fermín,110654,Barcelona
Ledesma,28767,Cádiz
Iza,401449,Cádiz
Fali,301762,Cádiz
Luis Hernández,200433,Cádiz
Javi Hernández,24664,Cádiz
Machís,18052,Cádiz
Fede San Emeterio,102234,Cádiz
Iván Alejo,22082,Cádiz
Alcaraz,301125,Cádiz
Chris Ramos,24735,Cádiz
Roger,300529,Cádiz
Lucas Pires,33050,Cádiz
Sobrino,7569,Cádiz
Escalante,20018,Cádiz
Álex,8567,Cádiz
Meré,102277,Cádiz
Negredo,4027,Cádiz
Osmajić,12954,Cádiz
David Gil,101852,Cádiz
José Mari,400345,Cádiz
Zaldua,201044,Cádiz
Momo,22631,Cádiz
De la Rosa,403792,Cádiz
Sivera,302291,Alavés
Gorosabel,22358,Alavés
Rafa Marín,15180,Alavés
Abqar,20671,Alavés
Sedlar,25616,Alavés
Duarte,301809,Alavés
Guevara,22429,Alavés
Blanco,23598,Alavés
Guridi,22049,Alavés
Rioja,202425,Alavés
Abde Rebbach,19122,Alavés
Javi López,26449,Alavés
Benavídez,45102,Alavés
Sylla,301810,Alavés
Kike García,9395,Alavés
Adrián,27986,Alavés
Gagua,19100,Alavés
Joseda,43148,Alavés
Owono,13161,Alavés
Maraš,29245,Alavés
Selu Diallo,403693,Alavés
Alkain,22648,Alavés
Oblak,18149,Atlético de Madrid
Hermoso,20150,Atlético de Madrid
Savić,95524,Atlético de Madrid
Azpilicueta,405,Atlético de Madrid
Carrasco,82276,Atlético de Madrid
Marcos Llorente,22037,Atlético de Madrid
De Paul,18142,Atlético de Madrid
Lemar,82564,Atlético de Madrid
Koke,12503,Atlético de Madrid
Griezmann,12581,Atlético de Madrid
Morata,8571,Atlético de Madrid
Barrios,13283,Atlético de Madrid
Söyüncü,26190,Atlético de Madrid
Correa,20017,Atlético de Madrid
Saúl,101062,Atlético de Madrid
Memphis,25004,Atlético de Madrid
Gomís,13285,Atlético de Madrid
Galán,20173,Real Sociedad
João Félix,20535,Barcelona
Grbić,19830,Atlético de Madrid
Riquelme,23741,Atlético de Madrid
Lino,25825,Atlético de Madrid
Kostis,403887,Atlético de Madrid
André Ferreira,21869,Granada
Miguel Rubio,20281,Granada
Vallejo,19004,Granada
Miquel,7562,Granada
Neva,24302,Granada
Sergio Ruiz,21348,Granada
Melendo,23317,Granada
Gumbau,16308,Granada
Uzuni,28629,Granada
Callejón,6159,Granada
Samu,110597,Alavés
Petrović,28631,Granada
Ricard,20856,Granada
Villar,23117,Granada
Puertas,401521,Granada
Zaragoza,43162,Granada
Perea,200426,Granada
Diédhiou,28034,Granada
Adri López,20261,Granada
Manafá,29211,Granada
Víctor Díaz,6306,Granada
Raúl Fernández,400093,Granada
Bosch,27993,Granada
Akhomach,28916,Villarreal
Altimira,201479,Betis
Mosquera,13178,Valencia
Fraga,1040445,Real Sociedad
Marchesín,25572,Celta de Vigo
Luís Maximiano,20521,Almería
Koné,41965,Almería
Appiah,26855,Almería
Kepa,19970,Real Madrid
Nico Paz,205146,Real Madrid
Raúl,26811,Osasuna
Egiluz,104814,Athletic Club
Alderete,29635,Getafe
Kochen,304265,Barcelona
Bastida,40270,Cádiz
Witsel,70839,Atlético de Madrid
Molina,29588,Atlético de Madrid
Ander Sánchez,304271,Alavés
Kike Salas,29773,Sevilla
Nyland,26012,Sevilla
Matías,205520,Sevilla
Soro,23554,Granada
De Frutos,22355,Rayo Vallecano
De Tomás,19972,Rayo Vallecano
Cárdenas,23213,Rayo Vallecano
Camello,21812,Rayo Vallecano
Kike Pérez,24419,Rayo Vallecano
Martín Pascual,22711,Rayo Vallecano
Sory Kaba,24509,Las Palmas
Gorrín,28404,Las Palmas
Merino,19027,Real Sociedad
Zakharyan,1068321,Real Sociedad
Ruly,23593,Celta de Vigo
Piñeiro,41233,Real Madrid
Maxi Gómez,20265,Cádiz
Léo Baptistão,101283,Almería
Mario González,15163,Granada
Luna,208498,Mallorca
Lukebakio,28144,Sevilla
Bueno,24523,Girona
Kebe,23996,Girona
Yuri,12460,Athletic Club
Dani García,300444,Athletic Club
Guilherme Fernandes,59499,Betis
Bartra,12397,Betis
Bellerín,11288,Betis
Yeremy Pino,15094,Villarreal
Marcos Alonso,12428,Barcelona
Cubarsí,3550,Barcelona
Canós,25169,Valencia
Mario,13289,Valencia
Kike Barja,19024,Osasuna
Stamatakis,1077665,Osasuna
García,404787,Alavés
Tenaglia,28633,Alavés
Mendes,40342,Alavés
Douvikas,40846,Celta de Vigo
Dani Pérez,110330,Betis
Ratiu,23548,Rayo Vallecano
Hagi,27191,Alavés
Amallah,49386,Valencia
Yaremchuk,46002,Valencia
Gonzalo,104319,Real Madrid
Carmona,27655,Getafe
Arambarri,84474,Getafe
Tierney,25775,Real Sociedad
Elustondo,202438,Real Sociedad
Boyé,27250,Granada
Solís,13644,Girona
Perrone,55001,Las Palmas
Nastasić,95720,Mallorca
Cuéllar,1140,Mallorca
João Cancelo,18141,Barcelona
Iñigo Martínez,201038,Barcelona
Iñaki Peña,24589,Barcelona
Giménez,15204,Atlético de Madrid
Reinildo,20525,Atlético de Madrid
Sergio Ramos,2495,Sevilla
Soumaré,28279,Sevilla
Januzaj,91024,Sevilla
