match_id,fecha,jornada,competicion,equipo_local,equipo_visitante,resultado,goles_local,goles_visitante,estadio,arbitro,manager_local,manager_visitante,res_local,res_visitante,titulares_local_ids,suplentes_local_ids,titulares_visitante_ids,suplentes_visitante_ids,goleadores_local_ids,goles_local_count,goleadores_visitante_ids,goles_visitante_count,cantidad_tarjetas_amarillas_local,id_jugadores_local_amarilla,cantidad_tarjetas_amarillas_visita,id_jugadores_visitante_amarilla,cantidad_tarjetas_rojas_local,id_jugadores_local_roja,cantidad_tarjetas_rojas_visita,id_jugadores_visitante_roja,Cuota 1,Cuota X,Cuota 2
30880,2022-08-26,Round 3,First Division,Girona,Celta de Vigo,0-1,0,1,Estadi Municipal de Montilivi  (Girona),Del Cerro Grande,Míchel,Coudet,0,1,"101023,19835,24523,300554,9371,304051,22846,302245,12962,1010860,12663","15143,24664,200119,27971,41632,12965,6287,15099,13384","25572,12600,25612,22336,20173,20079,25297,29002,78168,23230,6326","26424,43007,70504,12214,20482,27601,22803,102347,43011,45101,20977,100426",0,0.0,6326,1.0,2.0,"300554,9371",1.0,78168,0.0,0,0.0,0,2.8,3.11,2.69
30881,2022-08-26,Round 3,First Division,Betis,Osasuna,1-0,1,0,Estadio Benito Villamarín  (Sevilla),Martínez Munuera,Pellegrini,Arrasate,1,0,"70320,23106,23105,20033,301828,82254,27658,70061,12409,303958,102337","8496,30140,4149,27431,82702,24095,21125,1288,22843,12480,21475,24656","201971,302292,18046,201317,201018,86177,23928,22606,8752,8678,21481","22773,19024,301767,9395,27214,43090,300174,20120,100312,20098,21427,201045",102337,1.0,0,0.0,0.0,0,3.0,"201317,201018,23928",1.0,20033,0.0,0,1.83,3.55,4.45
30882,2022-08-27,Round 3,First Division,Elche,Real Sociedad,0-1,0,1,Estadio Manuel Martínez Valero  (Elche),Iglesias Villanueva,Francisco,Imanol,0,1,"300473,23015,301062,18171,15239,25422,16308,101267,23370,27077,300529","29916,25227,19003,301250,27250,97478,110148,402078,402377,301796,20249,13295","201983,22358,22240,22404,22578,22483,19027,21041,537,28737,26515","23755,12582,202438,22759,206629,27947,26732,27698,22314,15074,22472,25964",0,0.0,21041,1.0,3.0,"15239,16308,23370",3.0,"22240,19027,206629",0.0,0,0.0,0,3.82,3.19,2.07
30883,2022-08-27,Round 3,First Division,Rayo Vallecano,Mallorca,0-2,0,2,Estadio de Vallecas  (Madrid),Sánchez Martínez,Iraola,Aguirre,0,2,"402399,3793,22401,28183,26734,21514,202401,2121,402020,401011,13729","21187,95465,21812,84014,21649,13378,13379,20687,22568,1914,20188","25705,301806,24644,20741,401446,12615,70347,100293,82249,23558,28512","20889,13763,13266,301113,23528,11677,23151,24649,29575,27804,8533,13279",0,0.0,"28512,23558",2.0,1.0,21514,3.0,"24644,82249,20889",0.0,0,0.0,0,2.01,3.21,4.04
30884,2022-08-27,Round 3,First Division,Almería,Sevilla,2-1,2,1,Power Horse Stadium – Estadio de los Juegos Mediterráneos  (Almería),Gil Manzano,Rubi,Lopetegui,2,1,"400349,20084,32898,22194,85055,20049,27821,19074,201285,26997,27094","22608,202079,29394,402092,101283,7502,26855,12415,40009,70364,27659,1069089","101861,1251,25763,95741,27076,301804,19973,84013,97612,97738,23132","82287,27655,20092,26241,300520,16773,12372,78077,8548,404684,19975,20128","26997,27094",2.0,19973,1.0,5.0,"32898,27821,201285,202079,101283",8.0,"1251,95741,27076,97738,23132,27655,26241,300520",0.0,0,0.0,0,3.46,3.32,2.18
30885,2022-08-28,Round 3,First Division,Getafe,Villarreal,0-0,0,0,Coliseum Alfonso Pérez  (Getafe),Figueroa Vázquez,Quique,Emery,0,0,"402491,300527,41998,29122,19021,21199,22333,23198,84474,22115,20260","20254,101289,304045,1014877,4123,45279,28999,22699,110319,21608,43258,15246","18174,25374,23355,2290,23095,28150,6164,91017,301763,8675,15094","6268,95573,304049,24868,15097,24508,23365,1504,43154,82607,200072",0,0.0,0,0.0,1.0,19021,5.0,"23355,2290,23095,6164,95573",0.0,0,0.0,0,4.96,3.64,1.73
30886,2022-08-28,Round 3,First Division,Barcelona,Valladolid,4-0,4,0,Spotify Camp Nou  (Barcelona),De Burgos Bengoetxea,Xavi,Pacheta,4,0,"93292,84324,304055,21908,20068,11269,25651,6857,70294,84451,93207","300367,82206,78218,23403,23758,944,9333,98023,24589,25004,22923,97737","300050,24053,402016,22258,9392,24419,22619,24297,401040,21024,401141","21033,200661,200585,101009,12518,40159,21222,13192,200847,402473","93207,25651,93207,300367",4.0,0,0.0,1.0,21908,2.0,"22258,24419",0.0,0,0.0,0,1.14,9.05,17.07
30887,2022-08-28,Round 3,First Division,Espanyol,Real Madrid,1-3,1,3,RCDE Stadium  (Cornella de Llobregat),Melero López,Diego Martínez,Ancelotti,1,3,"82651,27951,23525,21352,12498,21032,30024,28184,15228,23319,9301","25298,28136,23627,26712,26538,22175,26739,43113,106528,304041","13727,101266,20583,93402,93161,28344,22396,92802,18002,20660,12426","22869,15261,101005,25618,16806,26682,20659,28266,301239,95685",9301,1.0,"20660,12426,12426",3.0,0.0,0,0.0,0,1.0,82651,0.0,0,6.38,4.51,1.49
30888,2022-08-29,Round 3,First Division,Cádiz,Athletic Club,0-4,0,4,Estadio Nuevo Mirandilla  (Cádiz),Ortiz Arias,Sergio,Valverde,0,4,"28767,201044,301762,200433,12944,23739,23598,22082,400345,8750,4027","23943,29214,102234,8567,12511,6253,101852,20004,7569,22631,26509,6288","22117,9277,22519,202395,202398,12441,20793,16832,43075,19025,202397","20796,300444,20178,20792,2294,201266,20795,22447,20797,22162",0,0.0,"202397,20178,19025,20178",4.0,2.0,"23739,22082",1.0,202398,0.0,0,0.0,0,3.93,3.18,2.07
30889,2022-08-29,Round 3,First Division,Valencia,Atlético de Madrid,0-1,0,1,Estadio de Mestalla  (Valencia),Cuadra Fernández,Gattuso,Simeone,0,1,"12935,22681,13277,28075,302283,26778,23146,23542,25825,22451,18155","40502,15258,23912,43144,20265,26974,13178,29636,301736,24250,23702,20818","18149,70839,15204,20525,22037,18142,12503,18027,101062,20535,8571","82276,12581,82564,20017,20299,29006,13285,20150,19830",0,0.0,12581,1.0,4.0,"22681,13277,22451,43144",3.0,"20525,101062,20535",0.0,0,0.0,0,4.27,3.3,1.94
30890,2022-09-02,Round 4,First Division,Celta de Vigo,Cádiz,3-0,3,0,Abanca-Balaídos  (Vigo),Pulido Santana,Coudet,Sergio,3,0,"25572,12600,25612,22336,20173,20079,25297,29002,78168,23230,6326","20977,26424,12214,20482,28810,27601,43011,100426,102347,45101,43007","28767,201044,23943,200433,23739,23598,12945,102234,22082,46767,8750","7569,20004,6253,12511,8567,401449,6288,400345,101852,301762,4027,12944","6326,25297,6326",3.0,0,0.0,1.0,28810,2.0,"201044,8750",0.0,0,0.0,0,1.64,3.63,6.11
